Topic comp.graphics word list
a: 2491	
aa: 4	aaaa: 2	aad: 1	aaffff: 2	aafffff: 1	aajqohe: 1	aalborg: 2	aamrl: 7	aangeboden: 1	aantal: 4	
admission: 2	admissions: 1	admit: 6	admittedly: 1	adnet: 2	adobe: 16	adopt: 2	adopted: 1	adpro: 1	adress: 1	
adresses: 1	adrg: 2	adriaansen: 3	adrian: 1	ads: 4	advance: 54	advanced: 18	advancement: 1	advantage: 11	advantages: 3	
advertised: 1	advice: 8	advised: 2	advises: 1	ae: 1	aerial: 1	aerospace: 1	aeta: 1	aew: 12	af: 16	
affcebc: 1	affdfc: 1	affect: 3	affects: 1	affiliated: 3	affiliations: 2	affine: 2	affinity: 1	affraid: 1	afil: 1	
afit: 2	afraid: 4	after: 34	afternoon: 1	afternoons: 1	ag: 2	again: 22	against: 9	agate: 43	agb: 1	
age: 3	agencies: 4	agency: 2	agencys: 1	agiacalo: 1	ago: 20	agonizingly: 1	agree: 14	agreement: 2	agrees: 2	
agricultural: 4	ah: 3	ahead: 4	ahh: 2	ahpcrc: 3	ahuja: 1	ai: 16	aid: 1	aided: 4	aids: 1	
aiken: 3	aimed: 2	aimla: 8	aio: 2	aipd: 1	aips: 7	aipsmail: 1	air: 3	airborne: 2	aircooled: 1	
aircraft: 2	airhead: 3	airplanes: 1	airport: 1	airports: 1	aix: 11	aixssc: 1	ajay: 1	ak: 1	aka: 2	
akademi: 1	akron: 7	akronvm: 1	al: 13	ala: 2	alabama: 9	alan: 6	alaska: 1	albany: 9	albedo: 1	
albeit: 2	albert: 1	alberta: 1	albnyvms: 2	albuquerque: 2	alcfh: 2	alchemy: 9	alcohol: 2	aldus: 1	alex: 4	
alexander: 1	alf: 2	alfred: 2	algebraic: 1	algebraically: 1	algiorithm: 1	algo: 10	algorhtyms: 1	algorithm: 78	algorithmhidden: 1	
algorithmic: 2	algorithmically: 1	algorithms: 36	algorithmscode: 1	algoritmic: 1	alias: 3	aliased: 1	aliases: 1	aliasing: 1	alice: 11	
alien: 1	aliester: 1	aligning: 1	alijku: 1	alike: 2	all: 259	alladin: 2	allan: 1	allaround: 1	alleged: 1	
allegra: 1	allegro: 1	allen: 7	alliant: 1	allocated: 1	allover: 1	allow: 17	allowed: 2	allowing: 5	allows: 21	
allright: 2	almac: 5	almaden: 2	almost: 25	aload: 2	alogirhtm: 1	alogorythmn: 2	alogrithm: 1	alone: 5	along: 19	
alot: 1	alpha: 8	alphabet: 1	alphachannel: 1	alphareferencex: 1	alphashape: 1	alphashapes: 1	alphasumofedgedisplacements: 1	already: 31	alreadyaltered: 1	
alreadycoded: 1	alreadycompleted: 2	also: 246	alt: 195	alta: 1	altair: 1	altaoh: 4	alter: 2	alteration: 1	altered: 2	
alternate: 2	alternating: 1	alternative: 5	alternatives: 1	although: 18	altimetry: 1	alto: 2	altogether: 1	altprintscreen: 1	aludra: 4	
alv: 1	alvusersrequest: 1	alw: 1	always: 16	aly: 2	alyce: 1	am: 161	amanda: 1	amann: 8	amateur: 1	
amaze: 1	amazing: 3	amb: 1	amber: 8	ambient: 2	amdahl: 2	america: 3	american: 10	americans: 2	amertume: 4	
ames: 39	amgia: 1	amiga: 105	amigados: 2	amigaexec: 1	amigagfx: 1	amigagfxconv: 1	amigagfxedithamlabd: 1	amigagfxshowviewtek: 1	amigajpegv: 1	
amigalynx: 1	amigaosgfxrend: 1	amigapixmisc: 1	amigas: 7	amigaunix: 1	aminet: 3	amjad: 4	amnesia: 1	among: 13	amongst: 2	
amount: 11	amounts: 2	ample: 1	amplify: 1	amr: 1	amro: 5	amsterdam: 2	amused: 2	amusement: 1	amusing: 1	
an: 374	anagram: 1	analog: 2	analyses: 1	analysis: 60	analyst: 7	analysts: 1	analytical: 2	analytically: 1	analytics: 2	
analyze: 3	anatomy: 1	anaxagoras: 1	anaysis: 1	ance: 1	anchor: 2	anchored: 1	ancient: 1	and: 2178	andor: 21	
andre: 7	andreas: 6	andreasa: 11	andrew: 102	andrey: 3	andy: 1	angeles: 13	angle: 5	angles: 5	ani: 2	
anim: 1	animal: 5	animals: 1	animate: 1	animated: 9	animates: 1	animateworld: 1	animation: 180	animationfli: 1	animations: 9	
animationvideo: 2	animator: 4	animators: 1	animted: 1	anl: 6	ann: 9	annee: 1	annick: 1	annimation: 1	annotate: 1	
annotation: 2	annotations: 1	announce: 8	announced: 5	announcement: 7	announcementof: 1	announcements: 1	announcing: 2	annoy: 1	annoyed: 6	
annoying: 5	annoys: 1	annual: 2	anonymous: 31	anonyomus: 2	another: 71	ans: 274	ansi: 8	ansiaiim: 1	ansic: 1	
answer: 31	answered: 1	answering: 1	answers: 54	answerscompressionfaqpart: 1	answersfindingsources: 1	answersftplistfaq: 1	answersjpegfaq: 2	ant: 2	antarctica: 1	
antialiasing: 5	antifreeze: 2	antonio: 5	antwerp: 1	anu: 9	anvance: 1	any: 337	anybody: 52	anymore: 6	anyone: 144	
anyones: 1	anything: 51	anyway: 17	anyways: 3	anywhere: 4	aparantly: 1	apart: 2	apda: 2	apdc: 1	ape: 5	
aperture: 3	apex: 1	api: 1	apitoolkitsdk: 1	apollo: 5	apologize: 1	app: 6	apparantly: 1	apparent: 1	apparently: 7	
appealing: 2	appear: 9	appearance: 1	appeared: 2	appearing: 3	appears: 6	appendix: 1	apple: 32	applelink: 1	apples: 9	
appleton: 1	applicable: 1	application: 32	applicationinterest: 1	applicationlevel: 1	applicationpd: 1	applications: 44	applicationsusers: 1	applied: 5	applies: 2	
apply: 9	applying: 2	appologies: 1	appreciate: 18	appreciated: 43	apprecied: 2	appreshed: 1	approach: 11	approaches: 2	appropriate: 7	
approval: 1	approved: 5	approximate: 1	approximated: 1	approximately: 2	approximating: 2	apps: 9	appsoft: 4	appstate: 2	apr: 449	
apreciate: 1	april: 15	aprilmay: 1	aprs: 5	aq: 1	aquarium: 1	aqueous: 4	ar: 2	aragorn: 9	araucaria: 1	
arbitrarily: 3	arbitrary: 8	arbor: 9	arbritrary: 2	arc: 14	archaic: 1	archchancellor: 1	archer: 5	archie: 42	archies: 1	
archimedes: 5	architectural: 1	architecture: 9	architectures: 3	architektur: 1	archival: 1	archive: 42	archived: 5	archivename: 6	archiver: 2	
archives: 7	archiveserver: 7	archiving: 2	arcinfo: 2	arcs: 3	arden: 1	are: 564	area: 20	areas: 10	arent: 11	
arewill: 1	arff: 7	argiro: 1	argue: 2	argues: 1	argument: 2	argus: 4	ari: 4	ariadne: 3	aris: 2	
arises: 1	arithmetic: 18	arizona: 5	arj: 3	arjed: 1	arkansas: 3	arlunya: 1	arm: 18	arms: 1	armstrong: 1	
armx: 1	armxx: 1	army: 17	arno: 4	around: 41	arowatt: 1	arp: 1	arpa: 1	arrange: 1	arranged: 1	
array: 9	arrays: 2	arriving: 1	arrowheads: 1	arrows: 1	art: 23	artcom: 4	arthur: 6	article: 179	articleboissonnat: 1	
articlecurcio: 1	articlefungdraw: 1	articlei: 20	articles: 19	artifacts: 5	artificial: 1	artist: 8	artistprogrammer: 1	artists: 6	arts: 9	
artware: 2	artwork: 4	arun: 1	as: 480	ascension: 2	ascii: 14	asd: 8	asdg: 1	asia: 1	aside: 4	
asis: 1	ask: 31	asked: 17	asking: 5	asks: 3	asm: 7	aspect: 1	aspects: 27	assassin: 4	assemble: 1	
assembled: 1	assembler: 4	assembly: 11	assholes: 1	assist: 3	assistance: 5	assisted: 3	associated: 8	associates: 2	association: 1	
assorted: 1	assume: 9	assumed: 1	assumes: 1	assuming: 5	assumption: 1	assurance: 1	assures: 1	asterix: 7	astro: 8	
astronomical: 4	astronomy: 6	astrophysics: 1	asu: 1	asuvax: 2	at: 445	atari: 4	atarigraphicsjpegbin: 1	ataris: 1	atarist: 1	
ate: 1	atheist: 3	athena: 7	athens: 9	athula: 1	ati: 33	atl: 2	atlanta: 5	atmospheric: 2	atomic: 5	
atoms: 4	aton: 1	atop: 1	atr: 2	att: 12	attached: 4	attachment: 1	attempt: 5	attempted: 2	attempting: 2	
attend: 3	attendees: 5	attention: 3	attest: 3	attmail: 2	attraction: 1	attributed: 1	attributes: 4	au: 123	auc: 2	
audio: 5	audioworks: 1	augjpeg: 1	august: 4	aukland: 5	aukuni: 1	aun: 4	aurelie: 1	aurenhammer: 1	aus: 4	
aussienz: 1	aust: 2	austin: 9	australasian: 1	australia: 39	australian: 9	auteur: 1	author: 34	authorartist: 3	authorchristine: 2	
authorization: 1	authorkhun: 1	authors: 9	authorsloan: 1	auto: 2	autocad: 8	autocarto: 1	autodesk: 2	autodesks: 1	autolisp: 1	
automata: 2	automate: 2	automated: 4	automatic: 7	automatically: 9	automation: 1	automatix: 1	automove: 1	autoscaling: 1	aux: 1	
availability: 9	available: 188	availlable: 1	avalon: 4	avalons: 1	avatar: 3	ave: 10	avenue: 5	average: 4	averages: 2	
averaging: 1	avhrr: 2	avi: 4	avid: 2	aviris: 4	avoid: 11	avoided: 3	avoiding: 1	avs: 10	awaiting: 1	
award: 2	aware: 3	away: 11	awdprime: 1	awed: 1	awesome: 3	awful: 10	awfully: 2	awhile: 1	aws: 1	
ax: 2	axes: 5	axiom: 3	axis: 10	axyz: 1	ayounes: 4	ayq: 1	az: 5	b: 94	babbage: 2	
baboon: 1	baccki: 1	back: 44	backbone: 1	backdraft: 2	backdrops: 1	backed: 1	backface: 1	background: 13	backgrounds: 1	
backgroundtile: 1	backmasking: 3	backspace: 1	backup: 1	backwards: 2	bad: 47	badenwuerttemberg: 1	badnet: 1	badouel: 2	baffeled: 1	
bag: 3	bajuk: 1	bala: 2	balance: 1	balancing: 1	balboa: 1	balding: 1	balki: 3	ball: 1	ballandstick: 1	
balls: 2	balsa: 3	baltimore: 2	banbury: 2	band: 3	bandied: 1	banding: 3	bands: 11	bandwidths: 1	bank: 11	
bankpage: 1	bar: 4	baraff: 3	barbara: 3	barkley: 1	barnacle: 1	barnsley: 2	baron: 5	barreno: 1	barrier: 1	
barris: 3	barry: 2	bars: 6	barsoom: 1	bart: 5	bartokomas: 3	base: 11	based: 55	bases: 3	basic: 23	
basically: 14	basin: 2	basis: 6	batch: 4	batcomputer: 15	baud: 3	bauverm: 2	bauwesen: 1	baxter: 1	baylor: 1	
bb: 101	bbac: 1	bbad: 2	bbb: 3	bbbb: 2	bbd: 2	bbe: 1	bbn: 4	bboards: 1	bbs: 37	
bbses: 6	bc: 35	bcc: 1	bccdc: 1	bcdaccf: 1	bcee: 1	bcm: 4	bcstec: 22	bd: 5	be: 700	
beach: 2	beam: 1	bear: 3	bearing: 2	beasts: 1	beat: 1	beautiful: 2	beaver: 4	beaverton: 1	became: 1	
becasue: 1	because: 58	becausing: 1	become: 11	becomes: 3	beech: 1	beeing: 3	beem: 1	been: 116	before: 43	
beforehand: 1	befuddled: 1	beg: 5	begin: 10	beginners: 2	beginning: 3	begun: 2	behaves: 1	behavior: 4	behind: 5	
being: 37	belgium: 2	believe: 20	bell: 5	bellcore: 1	belongs: 1	below: 26	belt: 1	belvedere: 2	ben: 1	
benchmark: 2	benchmarked: 1	bending: 1	benefit: 2	bennett: 1	benoit: 1	beowulf: 1	bepaalt: 1	bergen: 1	berger: 2	
berkeley: 12	berkom: 2	berkshire: 2	berlin: 3	bernard: 1	berndt: 1	berne: 4	bernie: 2	berrys: 1	bert: 1	
besides: 9	best: 50	bet: 9	beta: 9	betatest: 2	bethesda: 10	better: 62	betterlooking: 1	betterthanbit: 1	between: 50	
beverly: 2	beware: 4	beyond: 5	bezier: 19	bg: 1	bga: 7	bgi: 7	bgsuvax: 2	bgu: 2	bham: 9	
bhusan: 1	bias: 1	bib: 5	bibadmin: 1	biblio: 1	bibliography: 3	bibs: 1	bibtex: 2	bickers: 1	bicubic: 1	
biennial: 1	big: 28	bigboy: 1	bigger: 3	biggest: 4	bigname: 1	bilevel: 1	bilinear: 1	bill: 7	billerica: 1	
billing: 1	billj: 2	billy: 1	bilver: 3	bim: 1	bin: 1	binaries: 157	binary: 14	binder: 1	bindings: 1	
binhex: 2	bink: 2	binnen: 1	binocular: 1	binomial: 1	bio: 9	biocentre: 1	biochem: 3	biochemistry: 2	biographical: 1	
biol: 2	biological: 2	biology: 2	biome: 1	biomed: 4	biomedical: 3	bionet: 8	bios: 7	bioss: 3	biosym: 1	
bird: 2	birds: 1	birmingham: 15	birth: 3	birthday: 1	bis: 5	bisector: 5	bisectors: 2	bismnp: 1	bison: 2	
bisv: 3	bit: 187	bitching: 1	bitcom: 1	bitforbit: 2	bitftp: 2	bitgraypixel: 1	bitimages: 1	bitma: 1	bitmap: 23	
bitmapped: 7	bitmaps: 4	bitnet: 19	bitorless: 1	bitperpixel: 4	bitpixel: 6	bitquantizedrasterized: 1	bitrasterized: 4	bits: 24	bitspixel: 4	
bivariate: 1	biweekly: 1	biz: 1	bizarre: 1	bkyast: 1	bl: 4	black: 12	blackandwhite: 4	blackbird: 2	blade: 8	
blank: 3	blaster: 1	blat: 1	blaze: 6	blazer: 1	bldg: 2	bleak: 1	blekul: 2	blessed: 2	blinn: 1	
blinns: 2	blits: 5	blitter: 1	blitz: 1	blkbox: 3	bllac: 1	block: 5	blockiness: 3	blocks: 3	blocksmooth: 1	
blocky: 1	bloom: 1	blow: 4	blown: 1	blue: 9	blues: 1	blur: 2	blurred: 1	blurriness: 1	blurry: 2	
blvd: 3	bmp: 14	bn: 1	bnl: 1	bnr: 5	bnrgate: 4	bo: 2	board: 27	boards: 7	boardschips: 1	
boardschipsets: 1	boast: 1	boat: 2	boats: 1	bob: 22	bobc: 4	bobcat: 1	bobsbox: 3	bockamp: 5	bodies: 1	
body: 16	bodypart: 1	boebert: 3	boeing: 23	bogart: 2	bogus: 39	boids: 1	boissonnat: 1	boisvert: 2	boivert: 1	
bojsen: 2	bold: 1	bolero: 7	bolsheviks: 1	bolson: 22	bonds: 3	boned: 3	bones: 2	bonnie: 1	bonuss: 1	
bony: 5	book: 61	books: 27	bookstore: 2	booktitleproceedings: 1	boolean: 1	booleimag: 1	boom: 2	boot: 2	booth: 5	
boots: 1	booty: 1	border: 5	borders: 3	borland: 5	borrowed: 1	borst: 1	bosch: 3	boston: 1	both: 63	
bother: 4	bothered: 3	bottom: 7	bought: 12	boughtlooked: 1	bouknight: 1	boulder: 8	bounce: 1	bounceback: 1	bounces: 2	
bound: 7	boundaries: 3	boundary: 3	bounded: 1	bourke: 4	boutwell: 2	box: 39	boxes: 14	boy: 9	boyd: 1	
boylan: 2	bozetechova: 1	bpaul: 1	bpirenne: 1	bprofane: 1	bprofanecwhz: 2	bps: 3	bqs: 1	braces: 1	brad: 1	
bradleys: 1	brain: 13	brakfast: 1	branch: 4	brand: 3	brandeis: 7	brandt: 1	brant: 1	brass: 1	bratislava: 2	
braun: 6	breadth: 2	break: 1	breakdown: 1	breaks: 2	breath: 3	breathed: 1	breen: 1	brent: 2	brentb: 1	
brep: 1	bresenhams: 5	brian: 8	brick: 3	bridge: 1	briefly: 1	brigham: 4	brighter: 4	brightness: 5	brightnesses: 1	
brighton: 5	brilliant: 1	bring: 7	bringing: 2	bris: 1	british: 3	brl: 6	brlcad: 2	brno: 3	broadcast: 6	
broadway: 1	brochure: 1	brochures: 1	brock: 2	brocku: 6	brodatz: 2	brook: 1	brookpark: 3	brother: 1	brothers: 2	
broue: 1	brown: 3	browse: 4	browsing: 1	brr: 1	bruce: 3	brunel: 14	brush: 3	brushmapping: 1	brushmaps: 1	
bryan: 9	bryanw: 7	bsaffo: 3	bsd: 1	bskewe: 3	bso: 2	bsoatr: 1	bsplines: 1	bsplinesurface: 1	bsq: 1	
bsucs: 1	bsuucs: 1	bt: 2	btg: 2	bton: 1	btr: 1	btw: 4	bu: 4	bubble: 1	buchholz: 2	
buchhorn: 3	buck: 8	budapest: 2	buddha: 4	budget: 4	buffalo: 9	buffalocomp: 2	buffer: 11	buffering: 1	buffers: 3	
buford: 1	bufs: 1	bug: 12	bugfix: 1	buggier: 1	buggy: 8	bugs: 12	build: 11	builder: 1	buildin: 1	
building: 14	builds: 4	built: 25	builtin: 6	bulf: 2	bulk: 3	bull: 16	bulletin: 3	bullshitting: 1	bullshitviks: 1	
bullwinkle: 1	bump: 7	bumper: 1	bumpy: 2	bunch: 6	bundle: 2	bundled: 5	bunkyoku: 1	burden: 1	bureau: 3	
bureaud: 1	bureaus: 2	burkhard: 2	burlington: 1	burn: 2	burnaby: 3	bus: 13	busily: 2	business: 8	busy: 2	
but: 439	buted: 1	butler: 4	button: 2	buttons: 3	buy: 29	buying: 3	buys: 3	buzzwords: 1	bw: 4	
bx: 4	by: 334	bye: 1	bynow: 1	byoh: 2	bypasses: 1	bypassing: 1	byte: 14	bytes: 20	bytescomments: 1	
byteswap: 1	byu: 18	c: 229	ca: 251	caa: 1	cab: 1	cable: 3	cables: 1	cache: 1	cactus: 2	
cad: 25	cadcae: 2	cadcore: 2	caddist: 1	cadi: 1	cadlike: 1	cadmolecularchemistry: 1	cadncadd: 1	caen: 37	caesar: 1	
cafe: 2	caffeine: 1	cahnge: 1	calalogged: 1	calculate: 4	calculating: 7	calculation: 5	calculations: 10	calculator: 3	caliber: 1	
calibrate: 1	calif: 4	california: 22	caligula: 3	call: 44	callable: 4	callback: 3	callbacks: 2	called: 62	callers: 2	
calling: 4	calls: 5	calstate: 3	caltech: 14	calvin: 1	cam: 7	cambridge: 9	camcorder: 1	came: 13	camera: 5	
cameraready: 1	cameras: 3	camino: 1	camosun: 14	camp: 4	campbell: 7	campus: 2	camter: 1	can: 503	canada: 47	
canadian: 1	canadians: 1	canberra: 9	cancel: 1	cancer: 1	candidates: 1	canned: 3	cannot: 14	canny: 1	canon: 3	
canonical: 1	canrem: 9	cant: 68	cantaloupe: 665	canterbury: 6	cantua: 2	canyon: 3	capabilities: 13	capability: 13	capable: 6	
capacities: 1	capacity: 1	cape: 1	capelli: 4	capital: 3	capitalization: 1	capitalized: 1	capped: 1	capture: 13	captureconvert: 1	
captured: 2	capturing: 1	car: 2	carbon: 1	card: 121	cardboard: 1	carderock: 7	cardhu: 2	cardiovascular: 2	cards: 30	
cardsvga: 1	care: 6	career: 2	carefree: 1	careful: 5	carefully: 4	carel: 6	carelcomp: 2	carla: 1	carleton: 10	
carlsbad: 1	carmack: 2	carnegie: 2	carolina: 2	caroline: 1	carpenter: 10	carriage: 2	carrier: 1	carries: 1	carroll: 1	
carry: 5	carrying: 3	cars: 2	carson: 9	carter: 1	cartographic: 2	cartography: 1	cartoons: 3	cartoontype: 1	cartridge: 3	
cartwright: 4	casablanca: 1	case: 42	cases: 4	casper: 1	caspian: 23	cass: 2	cassette: 1	castlab: 2	castle: 2	
castro: 1	cat: 4	catalog: 2	cataloge: 1	catalogs: 2	catalogtelnet: 2	categories: 5	category: 1	catharines: 2	catt: 2	
cause: 14	caused: 1	causing: 1	caution: 2	cautious: 1	cavalier: 3	caveat: 1	cb: 11	cbnewsi: 2	cbws: 6	
cc: 160	ccadmn: 1	ccalmr: 1	ccalmrpubacegrxmgr: 1	ccalmrpubacegrxvgr: 1	ccc: 2	cccc: 2	ccd: 4	ccds: 1	ccf: 1	
ccgwt: 3	ccmail: 6	cco: 2	ccode: 1	ccopyright: 1	ccr: 2	ccraig: 1	ccresourcesh: 4	ccs: 3	ccserver: 1	
ccu: 7	ccube: 1	ccw: 3	ccwf: 7	ccws: 1	cd: 14	cdi: 6	cdis: 5	cdnswc: 2	cdoh: 2	
cdr: 3	cdrom: 16	cdrombased: 2	cdroms: 13	cds: 4	cdt: 1	ce: 2	ceased: 1	cec: 7	cecer: 7	
cecnn: 1	ceee: 1	ceg: 2	cek: 1	cell: 1	cellar: 17	cells: 3	cem: 2	census: 1	center: 93	
centerline: 2	centers: 1	central: 9	centre: 18	centres: 1	centris: 12	centrismhz: 3	centro: 1	centroid: 1	cents: 1	
cerf: 1	cerl: 2	cerls: 1	cerrina: 1	cerrito: 1	cerritos: 1	cert: 1	certain: 8	certainly: 14	ces: 1	
cesspool: 1	ceyz: 3	cf: 1	cfd: 2	cfob: 1	cfranz: 1	cfstu: 1	cft: 1	cfv: 5	cfvs: 1	
cfxwg: 1	cg: 1	cga: 4	cgbl: 1	cgcad: 3	cgeuge: 1	cgi: 2	cgl: 1	cgm: 4	cgqb: 2	
cgrl: 1	cgschot: 3	ch: 88	chad: 3	chain: 2	chair: 1	chalk: 1	challenge: 3	challenges: 1	chalmers: 13	
chama: 1	champaign: 4	chance: 3	chances: 3	chandrakant: 1	change: 30	changed: 8	changefsi: 1	changes: 16	changesextensions: 1	
changing: 4	channel: 3	channui: 4	chaos: 3	chaotic: 1	chapel: 7	chapter: 2	chapters: 2	char: 13	character: 7	
characteristic: 2	characterization: 5	characterizing: 1	characters: 9	charge: 6	charisma: 2	charles: 1	charlestown: 1	charlottesville: 1	charmm: 1	
charnel: 4	charon: 1	chars: 1	charsetiso: 1	chart: 3	charter: 2	charts: 2	chasing: 1	chassis: 1	cheap: 13	
cheaper: 2	cheaply: 1	check: 50	checkbox: 1	checked: 13	checker: 1	checking: 1	checks: 2	cheers: 6	cheinan: 2	
chem: 2	chemical: 1	chemistry: 1	chemlabii: 1	chemscn: 1	chen: 2	chenwang: 1	cheque: 1	cheques: 1	chert: 5	
chew: 2	cheyuan: 1	chia: 1	chic: 2	chicago: 15	chico: 1	child: 1	children: 1	chile: 1	chinalake: 5	
chinpurcell: 1	chip: 14	chips: 7	chipset: 1	chipsets: 2	chir: 1	chiz: 1	chjza: 1	chlod: 3	choice: 26	
choices: 2	choises: 1	choke: 1	choose: 8	chooses: 1	choosing: 2	chords: 1	chosen: 7	chosing: 1	chould: 1	
choung: 1	chpc: 1	chqix: 1	chris: 20	christchurch: 2	christian: 3	christine: 1	christoph: 1	christopher: 6	chrominance: 1	
chrysler: 1	chs: 1	chua: 1	chuck: 1	chui: 1	chulho: 1	chumphre: 2	chunk: 3	church: 2	churchrelated: 1	
chvrtd: 1	chwwr: 1	ci: 1	cia: 4	ciao: 1	cica: 3	cicero: 1	cifically: 1	cihqm: 1	cimad: 2	
cinch: 1	cine: 1	cineca: 1	cinemorph: 2	cipiti: 2	cipres: 3	circa: 2	circle: 30	circles: 8	circuit: 1	
circuitry: 1	circular: 1	circumcenter: 2	circumference: 1	circumstances: 2	cirr: 2	cirrusbased: 1	cis: 162	cisc: 1	cited: 1	
cities: 2	citing: 1	citizens: 1	city: 19	cix: 2	cjcji: 1	cjgo: 1	cjgqm: 1	cjpeg: 9	cjpegs: 2	
cjqm: 2	cjr: 1	cjuyz: 2	ckctpa: 2	cklef: 1	ckzzw: 1	cl: 5	claim: 10	claimed: 2	claiming: 3	
claims: 4	clarification: 1	clarifications: 1	clarify: 5	clark: 8	clarke: 1	clarkson: 10	class: 12	classes: 2	classesgroupspackages: 1	
classification: 6	classified: 1	claye: 3	clc: 2	cleaned: 1	cleanedup: 1	cleaning: 1	cleanly: 3	clear: 6	clearance: 1	
clearly: 3	clemson: 2	clerr: 3	cleveland: 11	clevt: 2	clez: 1	clh: 1	clhi: 1	cli: 1	clibstatus: 1	
click: 4	clicks: 1	client: 18	clients: 9	clientserver: 3	cliff: 3	clinton: 1	clip: 13	clipart: 1	clipboard: 2	
clipped: 1	clipper: 4	clipping: 5	clips: 2	clj: 1	clldomps: 5	clock: 10	clockwise: 6	clog: 1	clone: 1	
clones: 2	close: 8	closed: 4	closepath: 1	closer: 2	closes: 2	closest: 3	closing: 1	clothes: 2	clothing: 5	
cloudless: 2	clouds: 3	clough: 1	clp: 7	clrk: 1	clrpaint: 2	clrview: 4	club: 65	clue: 2	clueless: 1	
clues: 1	clump: 2	cluster: 1	clustering: 2	clut: 1	clyde: 1	cmcl: 1	cme: 1	cmf: 1	cmon: 1	
cmu: 1464	cmvn: 2	cna: 3	cnft: 2	cnladmdnetprmdptt: 1	cnn: 2	cnrc: 1	cns: 1	cnsx: 1	cnter: 1	
cnusc: 2	cnx: 4	cny: 1	co: 58	coachhouse: 1	coast: 2	coastlines: 2	cobra: 4	coconut: 1	cod: 1	
code: 143	codec: 7	codecs: 1	coded: 1	codepackage: 3	codepackagewhatever: 3	codes: 9	coding: 14	codn: 1	coe: 5	
coefficient: 2	coefficients: 1	cogs: 1	cohen: 1	coin: 1	coincidence: 1	coincident: 1	col: 13	colby: 1	colchester: 1	
cold: 1	colinear: 3	colinier: 1	collaborators: 1	collapse: 1	collapsed: 1	colleague: 1	collect: 1	collecting: 1	collection: 12	
collections: 4	collectively: 1	college: 31	collide: 1	collier: 2	collins: 3	collision: 5	cologne: 3	color: 151	colorado: 9	
colorbalance: 1	colored: 4	colorgradient: 4	coloring: 1	colormap: 3	colormapped: 2	colorquantized: 1	colorresolution: 2	colors: 60	colorspace: 5	
colorstudio: 3	colorview: 7	colostate: 5	colour: 27	colourmap: 1	colours: 12	cols: 29	columbia: 39	columbiasc: 12	columbus: 2	
column: 5	columnar: 1	com: 777	combination: 4	combinations: 1	combine: 1	combined: 1	combining: 1	comcomputer: 1	come: 27	
comedian: 1	comercial: 1	comes: 26	comet: 3	coming: 5	comlab: 1	command: 16	commandline: 1	commands: 8	comment: 3	
comments: 18	commentscorrections: 1	commercial: 33	commercialized: 1	commercials: 4	commerical: 2	commitments: 1	commits: 1	committed: 1	committee: 6	
committees: 1	common: 19	commonly: 3	commonwealth: 1	commpression: 1	comms: 1	communicate: 1	communicated: 1	communicates: 1	communication: 5	
communications: 8	communicators: 1	community: 7	comp: 1173	compact: 10	compactvideo: 3	compactvideolike: 1	companies: 11	companion: 2	company: 25	
